2025-07-21T06:30:25.291Z,X-
2025-07-21T06:30:26.593Z,X+
2025-07-21T06:30:26.674Z,X-
2025-07-21T06:30:29.392Z,X+
2025-07-21T06:30:31.192Z,Z+
2025-07-21T06:30:32.073Z,X+
2025-07-21T06:30:47.323Z,Z-
2025-07-21T06:30:50.404Z,Z+
2025-07-21T06:30:51.687Z,Z-
2025-07-21T06:30:57.504Z,Z+
2025-07-21T06:30:57.515Z,X+
2025-07-21T06:30:57.881Z,Z+
2025-07-21T06:31:08.692Z,Z-
2025-07-21T06:31:10.373Z,X+
2025-07-21T06:31:11.589Z,X-
2025-07-21T06:31:12.092Z,X+
2025-07-21T06:31:12.826Z,X-
2025-07-21T06:31:13.359Z,X+
2025-07-21T06:31:14.426Z,X-
2025-07-21T06:31:15.042Z,X+
2025-07-21T06:31:15.692Z,X-
2025-07-21T06:31:16.159Z,X+
2025-07-21T06:31:16.825Z,X-
2025-07-21T06:31:17.210Z,X+
2025-07-21T06:31:20.106Z,Z+
2025-07-21T06:31:23.724Z,X+
2025-07-21T06:31:35.637Z,Z+
2025-07-21T06:32:12.892Z,X+
2025-07-21T06:32:18.308Z,Z+
2025-07-21T06:32:27.850Z,X+
2025-07-21T06:33:17.474Z,Z+
2025-07-21T06:33:19.493Z,X+
2025-07-21T06:33:25.305Z,X-
2025-07-21T06:33:28.858Z,X+
2025-07-21T06:33:47.501Z,Z+
2025-07-21T06:33:51.967Z,X+
2025-07-21T06:33:53.425Z,X-
2025-07-21T06:33:54.491Z,X+
2025-07-21T06:33:55.786Z,Z+
2025-07-21T06:33:56.237Z,X-
2025-07-21T06:34:00.440Z,Z+
2025-07-21T06:34:01.292Z,X-
2025-07-21T06:34:01.373Z,X+
2025-07-21T06:34:01.442Z,X-
2025-07-21T06:34:01.841Z,Z+
2025-07-21T06:34:05.175Z,X+
2025-07-21T06:34:08.360Z,Z+
2025-07-21T06:34:08.371Z,X+
2025-07-21T06:34:08.537Z,Z+
2025-07-21T06:34:10.175Z,X-
2025-07-21T06:34:10.375Z,Z+
2025-07-21T06:34:26.791Z,X+
2025-07-21T06:34:29.870Z,Z+
2025-07-21T06:34:44.561Z,X+
2025-07-21T06:35:00.706Z,Z+
2025-07-21T06:35:00.805Z,X+
2025-07-21T06:35:02.941Z,X-
2025-07-21T06:35:04.692Z,X+
2025-07-21T06:35:07.608Z,Z+
2025-07-21T06:35:08.625Z,X+
2025-07-21T06:35:10.224Z,Z+
2025-07-21T06:35:21.974Z,Z-
2025-07-21T06:35:24.732Z,Z+
2025-07-21T06:35:32.991Z,X+
2025-07-21T06:36:49.192Z,Z+
2025-07-21T06:36:49.913Z,X+
2025-07-21T06:36:49.923Z,X-
2025-07-21T06:36:50.264Z,Z+
2025-07-21T06:36:50.303Z,X-
2025-07-21T06:36:52.439Z,Z+
2025-07-21T06:37:03.253Z,X+
2025-07-21T06:37:07.882Z,Z+
2025-07-21T06:37:48.233Z,X+
2025-07-21T06:37:52.873Z,Z+
2025-07-21T06:38:16.583Z,X+
2025-07-21T06:38:29.440Z,X-
2025-07-21T06:38:32.107Z,Z-
2025-07-21T06:39:15.783Z,X+
2025-07-21T06:40:45.593Z,Z+
2025-07-21T06:41:06.589Z,X+
2025-07-21T06:41:12.273Z,X-
2025-07-21T06:41:14.520Z,X+
2025-07-21T06:41:22.489Z,X-
2025-07-21T06:41:24.823Z,X+
2025-07-21T06:41:27.636Z,X-
2025-07-21T06:41:28.090Z,X+
2025-07-21T06:41:28.824Z,X-
2025-07-21T06:41:29.407Z,X+
2025-07-21T06:41:30.155Z,Z+
2025-07-21T06:41:30.693Z,X+
